producerId,producerName
0,纽兰药业硝酸咪康唑栓
1,银涛药业过氧化氢溶液
2,倍特药业甲硝唑芬布芬胶囊
3,兰州太宝天王补心丸
4,正清制药甲磺酸帕珠沙星氯化
5,四川旭华胆石片
6,正元盛邦蓼参胶囊
7,亚邦强生药业吡喹酮片
8,华山制药碳酸氢钠注射液
9,成大生物人用狂犬病疫苗
10,福邦药业五妙水仙膏
11,新博林利巴韦林泡腾颗粒
12,昆明龙津注射用降纤酶
13,河南济源济世补中益气丸
14,恒拓集团南宁仁盛制药富马酸
15,河南羚锐生物林可霉素利多卡
16,广东逢春制药归脾丸
17,日通藏药二十五味獐牙菜丸
18,科宝制药注射用胸腺肽
19,河南中杰消癌平片
20,博仕制药养血当归糖浆
21,西南药业醋酸甲萘氢醌片
22,红林制药苯磺酸氨氯地平片
23,旺龙神农跌打丸
24,金日制药法莫替丁钙镁咀嚼片
25,金世复方环磷酰胺片
26,南峰药业固本咳喘片
27,上海长城药业双嘧达莫片
28,沈阳同联颠茄片
29,辅仁堂齿痛消炎灵颗粒
30,吕梁中药清咽片
31,福建太平洋制药曲安奈德益康
32,维畅舒健脾补血颗粒
33,丹东医创氨茶碱片
34,丽申宝
35,辽宁康博士丙硫氧嘧啶片
36,润舒牛磺酸滴眼液
37,山西仟源注射用盐酸甲氯芬酯
38,鼎昌药业溴丙胺太林片
39,正大天晴甲磺酸伊马替尼胶囊
40,森科制药妇宁康胶囊
41,广州花城药业穿心莲片
42,上海旭东海普去乙酰毛花苷注
43,巴红
44,湖北东信琥乙红霉素片
45,京康运宝芪枣颗粒
46,边青注射用头孢他啶
47,金益制药利巴韦林含片
48,太洋药业硝苯地平片
49,示申宁解郁安神颗粒
50,苑东药业伊班膦酸钠注射液
51,永昇生化硫酸锌片
52,蓉生静丙
53,艾思美
54,湖南亚大制药赖氨葡锌颗粒
55,升和药业去甲斑蝥酸钠注射液
56,辽源誉隆亚东消痔栓
57,毛冬青胶囊
58,九连山药业异烟肼片
59,天亿
60,乐喜林
61,佳名
62,河北天致药业盐酸海索那林片
63,亦通抗栓胶囊
64,中药六厂炎立消胶囊
65,阿拓莫兰
66,天圣制药贝诺酯片
67,山西天源氯霉素片
68,深圳致君制药头孢地尼分散片
69,唯爱
