drugId,producerId
3719,3300
6791,3300
97,3300
15909,789
3349,2742
850,1539
11795,1867
8208,1867
10707,2742
1010,1539
12224,2742
15022,2742
9879,2742
9845,1539
2357,3300
7420,1867
3885,1867
16124,1867
11284,2742
15217,3300
13853,1539
424,1539
16596,675
753,2586
5315,1410
1416,3823
11519,1410
14870,74
12948,1403
4211,1403
4261,2586
9142,189
10677,189
3526,189
6334,189
6404,189
11425,74
3012,74
2698,1698
5099,1403
2763,1403
16910,1403
12422,1403
3943,460
2868,2149
2703,607
2305,693
6419,693
5066,3267
14002,3689
14406,2721
10332,2721
6960,2721
5876,2721
6259,2721
11697,2721
2013,2944
10197,3335
7888,3091
2106,2721
7993,2094
8444,2944
5930,2094
15721,1989
5405,2721
13938,3267
4851,2010
3523,2010
5891,160
10691,160
14090,160
2720,160
5666,160
1569,2120
9179,1181
14993,160
10553,1704
4527,1181
11304,1704
6229,1181
16722,1181
9824,160
6524,1181
9176,1181
14316,160
13151,1181
15156,160
12263,160
7557,160
1308,1181
11922,160
16890,2154
15575,817
13642,817
1657,1634
8573,12
16075,817
6967,817
8478,362
9884,817
3748,12
4655,362
10870,1634
14322,12
1704,12
11210,1634
2914,817
4125,817
16629,362
3967,1634
17019,2154
16872,12
9412,1634
16800,1634
4383,3140
1105,1414
15819,1414
6471,1091
10509,2246
13292,760
8143,2246
947,2246
2460,2246
14760,2246
11852,2246
11072,2246
3646,1414
13423,1414
12745,1414
7690,760
7894,760
14416,760
943,760
4538,760
7656,1091
9960,1414
13542,1091
6103,916
12752,1498
14104,1498
6375,1498
8620,1498
6103,916
15722,1498
16950,1498
13904,1498
1961,1498
6702,1498
15312,1498
1058,1498
6103,916
6103,916
16596,675
753,2586
5315,1410
1416,3823
11519,1410
14870,74
12948,1403
4211,1403
4261,2586
9142,189
10677,189
3526,189
6334,189
6404,189
11425,74
3012,74
2698,1698
5099,1403
2763,1403
16910,1403
12422,1403
3943,460
2868,2149
560,2867
4347,1569
12307,2867
10251,2867
4391,1569
14323,92
1669,92
1634,1569
6669,746
773,746
924,746
4684,2867
10927,2867
12980,1569
7881,1569
1484,1569
3429,1569
5435,1569
12500,2867
275,2867
9219,2867
13336,2867
3386,2867
656,2186
4294,2186
14117,2186
2309,2186
7086,2186
3014,2186
9898,2186
2508,3065
8521,3065
5895,2685
14210,2685
6391,2685
15456,1744
6576,2186
1907,2685
5895,2685
12457,2685
6391,2685
4237,2685
4237,2685
14210,2685
14210,2685
11048,2685
7203,3431
4543,1452
7619,1452
8156,1452
12086,1452
14838,1452
10422,1452
115,1452
9394,1452
9526,1452
10439,1452
7285,1452
16015,1452
8925,1452
2510,2185
1045,1452
7970,1452
15181,1452
4326,1452
13407,1452
9632,1452
7203,2185
13394,2732
4383,3140
1105,1414
15819,1414
6471,1091
10509,2246
13292,760
8143,2246
947,2246
2460,2246
14760,2246
11852,2246
11072,2246
3646,1414
13423,1414
12745,1414
7690,760
7894,760
14416,760
943,760
4538,760
7656,1091
9960,1414
13542,1091
4383,3140
1105,1414
15819,1414
6471,1091
10509,2246
13292,760
8143,2246
947,2246
2460,2246
14760,2246
11852,2246
11072,2246
3646,1414
13423,1414
12745,1414
7690,760
7894,760
14416,760
943,760
4538,760
7656,1091
9960,1414
13542,1091
13533,2243
5670,3208
10000,701
13842,3357
4895,2243
9685,2396
15238,333
14193,2074
14193,1724
10002,701
7678,186
7177,1619
0,1216
8885,333
6921,18
14260,18
4965,3490
5416,701
6094,701
1011,701
1810,242
2288,3208
111,701
1105,1414
15819,1414
6471,1091
17175,2783
13767,2783
8460,2783
11867,2783
6242,2783
6517,2783
11660,2783
3646,1414
13423,1414
12745,1414
7656,1091
9960,1414
13542,1091
13116,2653
7174,1091
12280,1091
5898,1091
15180,1091
11388,1091
15047,1091
9039,1387
14002,3689
2603,191
11231,2383
4843,57
11362,1155
535,3526
17056,2526
3821,422
16974,1253
2457,1155
11570,1678
842,2075
17184,477
17081,2913
12740,2913
10681,166
535,2302
16783,3689
6225,3689
5234,2336
15671,3689
8879,541
6792,108
8746,3643
1742,2391
11733,3387
674,2721
16435,2391
5525,2089
4368,2720
10305,2231
3822,564
17198,2689
16940,1479
616,3387
11522,3140
11793,527
8346,262
7938,1883
10454,965
13607,1611
13842,3357
12064,2951
13061,1479
10801,1397
10779,2986
4970,451
8183,3431
1276,1589
7748,309
10384,1450
16617,1452
7502,1452
2348,1452
8156,1452
16127,1452
14838,1452
15185,1452
11134,451
6987,445
8522,92
15941,2885
3461,2885
8655,2885
13430,1463
17129,1452
2108,92
12099,2885
12719,1655
14060,1655
9546,1655
3817,1655
14420,1655
14713,1655
431,1655
10194,2472
7956,1655
9769,1838
10525,1655
14209,67
8135,67
6328,67
2859,67
2209,1167
16111,1655
10616,1655
594,2554
10268,2472
960,2472
15326,1655
8290,1838
1105,1414
15819,1414
764,2720
8603,1435
3327,2952
6792,108
6260,3011
8746,3643
1742,2391
11733,3387
16435,2391
5525,2089
4368,2720
10305,2231
16940,1479
616,3387
11522,3140
8346,262
7938,1883
10454,965
12064,2951
13061,1479
10801,1397
1952,3689
10773,3689
17084,3689
10644,672
8725,2034
12455,2034
11303,2034
15871,2034
3960,672
16840,3689
2191,3689
2519,3689
3473,3689
374,572
5207,3689
13438,2034
6398,2034
10503,3689
8246,3689
14156,3689
1079,672
12516,672
14148,3689
14811,100
13123,100
13959,100
920,100
4941,100
12619,100
15643,100
16881,100
2972,100
16937,100
4271,100
9407,100
3997,100
10501,2693
13533,2243
4627,1335
6213,2243
3450,2371
3441,1846
4658,1252
13701,1382
13131,2169
5511,1245
12515,557
4637,1141
6350,3740
4059,2169
15656,2522
16575,2169
9019,2674
7943,2243
4491,2243
4030,2243
9487,1165
4282,2674
1656,2674
1657,1634
5194,12
13431,12
13272,1634
14322,12
16561,12
11210,1634
3967,1634
16872,12
17133,1634
5966,1634
5966,1634
8106,1634
3967,1634
7501,1634
2020,12
15161,12
17133,1634
5966,1634
8106,1634
9367,12
16104,12
1657,1634
7643,2590
6440,2513
9391,1044
14763,2590
13134,3779
8686,1019
13562,2590
13562,2590
7386,3779
13562,2590
8686,1019
8686,1019
8686,1019
13562,2590
13562,2590
13562,2590
8686,1019
8686,1019
8686,1019
7386,3779
7386,3779
6005,3779
3450,2371
2970,2195
10281,2517
10501,2693
13533,2243
4627,1335
6213,2243
2467,3251
3441,1846
13131,2169
5511,1245
12515,557
6350,3740
15656,2522
16575,2169
9019,2674
7943,2243
4491,2243
4030,2243
9487,1165
4282,2674
1656,2674
13177,3740
14870,74
9966,675
8876,189
11248,2586
3241,1410
7973,3823
11519,1410
4112,344
6404,189
11425,74
5605,675
7889,2417
10534,189
8504,1403
5041,1403
10943,344
4261,2586
8929,189
4786,189
10534,189
3012,74
145,1698
11050,1403
16365,2818
4365,2375
2451,1677
10539,31
12543,1852
13443,3090
1742,2391
3738,905
5372,1204
16435,2391
5525,2089
10305,2231
16940,1479
3470,1213
13650,683
17006,1356
41,3547
5911,1789
14065,3568
13061,1479
2176,2543
15588,2058
16086,3070
4742,160
7775,160
13774,160
12427,160
13387,160
9631,160
4707,160
8568,160
3128,160
778,160
16643,160
14316,160
12135,160
10115,160
6842,160
10115,160
10115,160
13588,160
10417,160
4555,1533
5484,3036
5531,613
